chlorides,density,pH,sulphates,quality
0.076,0.9978,3.51,0.56,Medium
0.098,0.9968,3.2,0.68,Medium
0.092,0.997,3.26,0.65,Medium
0.076,0.9978,3.51,0.56,Medium
0.075,0.9978,3.51,0.56,Medium
0.069,0.9964,3.3,0.46,Medium
0.097,0.9959,3.28,0.54,Medium
0.089,0.9943,3.58,0.52,Medium
0.114,0.9974,3.26,1.56,Medium
0.082,0.9982,3.52,0.65,Medium
0.106,0.9966,3.17,0.91,Medium
0.084,0.9968,3.17,0.53,Medium
0.08,0.9955,3.34,0.56,Medium
0.08,0.9962,3.28,0.59,Medium
0.08,0.9972,3.47,0.55,Medium
0.089,0.9958,3.35,0.54,Medium
0.083,0.9966,3.17,0.66,Medium
0.103,0.9957,3.38,0.55,Medium
0.074,0.9978,3.33,0.83,Medium
0.069,0.9968,3.3,1.2,Medium
0.114,0.997,3.25,0.73,Medium
0.074,0.9971,3.15,0.74,Medium
0.081,0.997,3.2,0.56,Medium
0.07,0.9971,3.04,0.63,Medium
0.076,0.9975,3.43,0.59,Medium
0.079,0.998,3.44,0.64,Medium
0.115,0.9968,3.21,0.71,Medium
0.081,0.9966,3.39,0.57,Medium
0.086,0.9962,3.41,0.39,Medium
0.086,0.9962,3.41,0.39,Medium
0.076,0.9962,3.44,0.58,Medium
0.084,0.9961,3.31,0.48,Medium
0.093,0.9986,3.54,0.66,Medium
0.086,0.9958,3.38,0.52,Medium
0.069,0.9958,3.41,0.56,Medium
0.086,0.997,3.36,0.57,Medium
0.076,0.9961,3.41,0.59,Medium
0.062,0.9966,3.39,0.64,Medium
0.107,0.9978,3.14,1.22,Medium
0.076,0.9978,3.48,0.53,Medium
0.079,0.9964,3.23,0.54,Medium
0.062,0.9966,3.39,0.64,Medium
0.102,0.9965,3.45,0.56,Medium
0.079,0.9967,3.39,0.56,Medium
0.077,0.9967,3.29,0.51,Medium
0.07,0.996,3.33,0.48,Medium
0.077,0.9967,3.29,0.51,Medium
0.467,0.9973,3.08,1.31,Medium
0.088,0.9969,3.46,0.79,Medium
0.104,0.9964,3.19,0.93,Medium
0.084,0.9964,3.15,0.66,Medium
0.104,0.9964,3.19,0.93,Medium
0.178,0.9962,3.3,0.57,Medium
0.075,0.998,3.49,0.52,Medium
0.082,0.996,3.39,0.48,Medium
0.081,0.9964,3.53,0.49,Medium
0.082,0.9964,3.54,0.48,Medium
0.118,0.9968,3.24,0.66,Medium
0.049,0.9937,3.63,0.63,Medium
0.09,0.9965,3.19,0.82,Medium
0.081,0.9972,3.48,0.64,Medium
0.09,0.9965,3.19,0.82,Medium
0.066,0.9954,3.34,0.58,Medium
0.117,0.9968,3.17,0.62,Medium
0.087,0.9944,3.54,0.52,Medium
0.095,0.995,3.35,0.54,Medium
0.095,0.995,3.35,0.54,Medium
0.071,0.9973,3.42,0.71,Medium
0.07,0.9973,3.42,0.72,Medium
0.071,0.9973,3.42,0.71,Medium
0.073,0.9969,3.48,0.5,Medium
0.09,0.9959,3.2,0.56,Medium
0.07,0.9982,3.37,0.49,Medium
0.07,0.9981,3.37,0.49,Medium
0.1,0.9961,3.19,0.62,Medium
0.085,0.9956,3.34,0.52,Medium
0.085,0.9958,3.35,0.78,Medium
0.08,0.9961,3.33,0.47,Medium
0.068,0.9969,3.48,0.56,Medium
0.067,0.9969,3.19,0.59,Medium
0.067,0.9969,3.19,0.59,Medium
0.27,0.9972,3.12,1.02,Medium
0.076,0.9972,3.44,0.52,Medium
0.077,0.9971,3.54,0.58,Medium
0.111,0.9971,3.26,0.53,Medium
0.082,0.9972,3.34,0.55,Medium
0.084,0.9968,3.2,0.55,Medium
0.077,0.9976,3.23,0.62,Medium
0.071,0.9964,3.28,0.55,Medium
0.071,0.9964,3.28,0.55,Medium
0.074,0.9968,3.46,0.59,Medium
0.1,0.9966,3.22,0.67,Medium
0.06,0.9959,3.3,0.43,Medium
0.06,0.9974,3.34,0.76,Medium
0.101,0.9962,3.14,0.57,Medium
0.072,0.9967,3.36,0.55,Medium
0.076,0.9957,3.39,0.54,Medium
0.101,0.9957,3.15,0.57,Medium
0.057,0.99525,3.42,0.6,Medium
0.263,0.9971,3,1.09,Medium
0.075,0.99685,3.38,0.52,Medium
0.09,0.9986,3.17,0.53,Medium
0.092,0.9959,3.23,0.59,Medium
0.073,0.99675,3.26,0.57,Medium
0.075,0.998,3.22,0.62,Medium
0.075,0.9968,3.49,0.67,Medium
0.611,0.9968,3.06,1.26,Medium
0.077,0.99625,3.29,0.65,Medium
0.07,0.99575,3.34,0.57,Medium
0.077,0.9963,3.28,0.67,Medium
0.064,0.9999,3.08,0.87,Medium
0.102,1.00015,3.31,0.71,Medium
0.102,1.00015,3.31,0.71,Medium
0.105,1.001,3.2,0.95,Medium
0.073,1.0001,3.05,0.64,Medium
0.086,0.9981,3.16,0.52,Medium
0.083,0.99855,3.67,0.73,Medium
0.094,0.9993,3.67,0.8,Medium
0.092,0.9994,3.51,0.72,Medium
0.112,0.9973,3.2,0.52,Medium
0.082,0.9966,3.36,0.52,Medium
0.076,0.9976,3.3,0.53,Medium
0.087,0.99645,3.39,0.68,Medium
0.09,0.99975,3.24,0.62,Medium
0.107,0.998,3.28,0.83,Medium
0.105,0.9958,3.13,0.52,Medium
0.08,0.9974,3.31,0.64,Medium
0.09,0.9974,3.27,0.73,Medium
0.12,1.0018,3.18,0.77,Medium
0.08,1.0001,3.26,0.88,Medium
0.099,0.9973,3.19,0.7,Medium
0.072,0.9992,3.05,0.56,Medium
0.071,0.9988,2.99,0.87,Medium
0.076,1,3.16,0.69,Medium
0.087,0.998,3.42,0.74,Medium
0.082,0.998,3.18,0.51,Medium
0.122,0.9994,3.47,0.53,Medium
0.064,0.9963,3.1,0.55,Medium
0.122,0.9994,3.47,0.53,Medium
0.075,0.9974,3.26,0.61,Medium
0.1,0.9966,3.27,0.64,Medium
0.087,0.9982,3.26,0.61,Medium
0.117,1.0014,3.32,1.07,Medium
0.091,0.9956,3.44,0.48,Medium
0.066,0.9976,3.62,0.68,Medium
0.047,0.9955,3.36,0.44,Medium
0.07,0.9978,3.24,0.6,Medium
0.074,0.9974,3.25,0.56,Medium
0.091,1.0004,3.16,0.49,Medium
0.091,1.0004,3.16,0.49,Medium
0.062,0.9951,3.08,0.6,Medium
0.081,0.9996,3.1,0.73,Medium
0.127,0.9968,3.22,0.72,Medium
0.063,0.9952,3.5,0.63,Medium
0.095,0.9986,3.37,0.58,Medium
0.097,0.9988,3.28,0.58,Medium
0.087,0.9982,3.26,0.61,Medium
0.07,0.9952,3.2,0.58,Medium
0.093,0.9996,3.05,0.61,Medium
0.087,0.9988,3.14,0.6,Medium
0.091,0.998,3.28,0.7,Medium
0.069,1.0026,3.12,0.66,Medium
0.152,0.9986,3.04,1.06,Medium
0.054,0.9976,3.17,0.47,Medium
0.09,0.9966,3.32,0.79,Medium
0.122,1.001,3.31,1.14,Medium
0.085,0.9978,3.22,0.55,Medium
0.086,0.9976,3.23,0.64,Medium
0.077,0.9974,3.09,0.57,Medium
0.098,1.0004,3.16,0.61,Medium
0.098,1.0004,3.16,0.61,Medium
0.077,0.9974,3.09,0.57,Medium
0.1,0.9996,3.22,0.62,Medium
0.101,0.9988,3.26,0.67,Medium
0.07,0.9966,3.12,0.59,Medium
0.094,0.9982,3.08,0.59,Medium
0.05,0.9934,3.74,0.62,Medium
0.095,1.00315,2.92,0.74,Medium
0.095,1.00315,2.92,0.74,Medium
0.075,0.9994,3.14,0.57,Medium
0.094,0.9982,3.08,0.61,Medium
0.075,0.9994,3.14,0.57,Medium
0.075,0.9978,3.14,0.61,Medium
0.083,0.9982,3.3,0.6,Medium
0.085,0.9982,3.29,0.6,Medium
0.089,1.0002,3.19,0.44,Medium
0.089,1.0002,3.19,0.44,Medium
0.108,0.9967,3.26,0.59,Medium
0.084,0.9987,3.35,0.57,Medium
0.084,0.9987,3.35,0.57,Medium
0.094,1.0004,3.29,0.58,Medium
0.086,0.9998,3.27,0.57,Medium
0.081,0.9975,3.3,0.52,Medium
0.083,0.9983,3.39,0.54,Medium
0.081,1.0006,2.98,0.54,Medium
0.079,0.9997,3.5,0.57,Medium
0.088,0.9988,3.09,0.8,Medium
0.076,0.9976,3.27,0.61,Medium
0.078,0.9976,3.28,0.62,Medium
0.08,0.9974,3.13,0.55,Medium
0.124,0.9997,3.46,0.72,Medium
0.098,0.9988,3.36,0.49,Medium
0.098,0.9988,3.36,0.49,Medium
0.111,0.9964,3.21,0.61,Medium
0.105,0.9988,3.25,0.63,Medium
0.073,0.9964,3.27,0.58,Medium
0.065,0.9954,3.27,0.55,Medium
0.086,0.9979,3.24,0.53,Medium
0.084,0.9978,3.24,0.53,Medium
0.071,0.9991,3.39,0.62,Medium
0.071,0.9991,3.39,0.62,Medium
0.071,0.9991,3.39,0.62,Medium
0.106,0.9986,2.89,0.5,Medium
0.096,0.9976,2.98,0.84,Medium
0.074,0.9979,3.08,0.46,Medium
0.087,1.0004,3.14,0.61,Medium
0.106,0.9986,2.89,0.5,Medium
0.08,0.9978,3.31,0.64,Medium
0.084,0.9981,3.14,0.56,Medium
0.074,0.9968,3.2,0.52,Medium
0.074,0.9968,3.2,0.52,Medium
0.084,0.9979,3.4,0.48,Medium
0.081,0.9983,3.48,0.53,Medium
0.06,0.9972,3.13,0.54,Medium
0.078,0.998,3.33,0.54,Medium
0.059,0.997,3.37,0.56,Medium
0.078,0.998,3.25,0.48,Medium
0.059,0.997,3.37,0.56,Medium
0.039,0.9962,3.4,0.47,Medium
0.157,0.9976,3.3,1.05,Medium
0.087,0.9998,3.48,0.54,Medium
0.422,0.9979,3.03,1.17,Medium
0.084,0.9984,3.32,0.62,Medium
0.084,0.9984,3.31,0.61,Medium
0.087,1.0001,3.31,0.53,Medium
0.073,0.999,3.37,0.49,Medium
0.093,0.9956,3.4,0.47,Medium
0.077,0.9966,3.37,0.51,Medium
0.08,0.9985,3.06,0.57,Medium
0.093,0.9998,3.38,0.61,Medium
0.078,0.998,3.28,0.51,Medium
0.079,0.9968,3.21,0.57,Medium
0.082,0.9976,3.22,0.44,Medium
0.086,0.9976,3.46,0.54,Medium
0.082,0.9976,3.22,0.44,Medium
0.094,0.9982,3.1,0.53,Medium
0.053,0.9965,2.94,1.62,Medium
0.077,0.9976,3.29,0.55,Medium
0.067,0.997,3.46,0.68,Medium
0.067,0.997,3.46,0.68,Medium
0.387,0.9982,3.17,0.67,Medium
0.088,0.9994,3.44,0.52,Medium
0.092,0.9966,3.39,0.47,Medium
0.082,0.998,3.55,0.6,Medium
0.075,0.9987,3.48,0.62,Medium
0.112,0.9963,3.26,0.5,Medium
0.088,0.999,3.35,0.6,Medium
0.078,0.99788,3.21,0.57,Medium
0.095,1.0001,3.13,0.51,Medium
0.089,0.99803,3.29,0.55,Medium
0.097,0.99785,3.39,0.61,Medium
0.089,0.99803,3.29,0.55,Medium
0.084,0.99656,3.25,0.5,Medium
0.084,0.99656,3.25,0.5,Medium
0.092,0.99823,3.19,0.52,Medium
0.075,0.99779,3.23,0.57,Medium
0.096,0.99738,3.25,0.42,Medium
0.089,0.99738,3.14,0.54,Medium
0.076,0.99668,3.39,0.54,Medium
0.082,0.9978,3.28,0.55,Medium
0.082,0.99782,3.27,0.55,Medium
0.102,0.99586,3.43,0.46,Medium
0.079,0.99788,3.36,0.61,Medium
0.076,0.99745,3.5,0.6,Medium
0.114,0.99732,3.66,0.65,Medium
0.077,0.99746,3.55,0.59,Medium
0.083,0.9982,3.21,0.5,Medium
0.099,0.998,3.09,0.52,Medium
0.084,0.99818,3.23,0.54,Medium
0.055,0.99639,3.38,0.56,Medium
0.132,0.99786,2.99,1.18,Medium
0.126,0.99746,3.1,0.74,Medium
0.068,0.99735,3.23,0.44,Medium
0.165,0.99702,3.26,0.86,Medium
0.068,0.99562,3.3,0.47,Medium
0.097,0.99976,3.28,0.54,Medium
0.099,0.99606,3.34,0.6,Medium
0.076,0.9973,3.61,0.64,Medium
0.068,0.99682,3.24,0.53,Medium
0.076,0.99624,3.36,0.49,Medium
0.115,0.99629,3.45,0.63,Medium
0.088,0.9963,3.28,0.62,Medium
0.081,0.99689,3.59,0.66,Medium
0.081,0.99689,3.59,0.66,Medium
0.085,0.99708,3.28,0.55,Medium
0.085,0.99708,3.28,0.55,Medium
0.077,0.99746,3.51,0.54,Medium
0.067,0.99628,3.24,0.44,Medium
0.078,0.99746,3.51,0.53,Medium
0.077,0.99748,3.51,0.54,Medium
0.086,0.99522,3.53,0.57,Medium
0.086,0.99824,3.34,0.64,Medium
0.112,1.00289,3.22,0.68,Medium
0.078,0.99743,3.53,0.57,Medium
0.078,0.99743,3.53,0.57,Medium
0.056,0.99562,3.4,0.69,Medium
0.084,0.9964,3.39,0.71,Medium
0.161,0.99395,3.62,0.61,Medium
0.091,0.99786,3.24,0.56,Medium
0.055,0.99516,3.18,0.8,Medium
0.055,0.99516,3.18,0.8,Medium
0.074,0.99748,3.48,0.65,Medium
0.08,0.99746,3.69,0.73,Medium
0.073,0.99425,3.61,0.54,Medium
0.09,0.99648,3.36,0.67,Medium
0.078,0.99592,3.27,0.62,Medium
0.115,0.99654,3.38,0.69,Medium
0.097,0.99733,3.13,0.48,Medium
0.083,0.997,3.44,0.52,Medium
0.109,0.99801,3.15,0.5,Medium
0.079,0.99712,3.25,0.62,Medium
0.08,0.99693,3.44,0.5,Medium
0.097,0.99596,3.16,0.49,Medium
0.097,0.99596,3.16,0.49,Medium
0.082,0.99694,3.45,0.48,Medium
0.082,0.99694,3.45,0.48,Medium
0.081,0.99603,3.25,0.54,Medium
0.102,0.99604,3.23,0.48,Medium
0.078,0.99636,3.53,0.61,Medium
0.062,0.99584,3.35,0.54,Medium
0.065,0.99378,3.49,0.52,Medium
0.095,0.99854,3.36,0.53,Medium
0.082,0.99634,3.49,0.64,Medium
0.414,0.99702,3.03,1.34,Medium
0.073,0.99258,3.56,0.55,Medium
0.104,0.99784,3.15,0.57,Medium
0.086,0.997,3.31,0.62,Medium
0.098,0.99892,3.2,0.58,Medium
0.08,0.99817,3.27,0.58,Medium
0.074,0.99529,3.12,0.49,Medium
0.096,0.99666,3.2,0.52,Medium
0.048,0.99374,3.41,0.6,Medium
0.09,0.99855,3.36,0.49,Medium
0.066,0.99256,3.52,0.58,Medium
0.095,0.9984,3.22,0.68,Medium
0.104,0.99786,3.14,0.58,Medium
0.066,0.99588,3.43,0.62,Medium
0.118,0.99616,3.15,0.53,Medium
0.118,0.99616,3.15,0.53,Medium
0.078,0.99692,3.29,0.67,Medium
0.041,0.99346,3.68,0.73,Medium
0.068,0.99478,3.19,0.46,Medium
0.07,0.99572,3.29,0.6,Medium
0.08,0.99538,3.36,0.7,Medium
0.08,0.99538,3.36,0.7,Medium
0.166,0.99551,3.56,0.51,Medium
0.111,0.99878,3.14,0.55,Medium
0.136,0.99752,3.35,0.94,Medium
0.091,0.99922,3.15,0.51,Medium
0.08,0.99592,3.02,0.47,Medium
0.104,0.99769,3.27,0.72,Medium
0.075,0.99718,3.4,0.64,Medium
0.074,0.99621,3.38,0.62,Medium
0.075,0.99718,3.4,0.64,Medium
0.076,0.99494,3.1,0.4,Medium
0.082,0.9983,3.37,0.62,Medium
0.082,0.99655,3.49,0.68,Medium
0.086,0.99502,3.12,0.48,Medium
0.077,0.9963,3.28,0.59,Medium
0.123,0.99627,3.45,0.58,Medium
0.096,0.99569,3.43,0.58,Medium
0.079,0.99628,3.4,0.69,Medium
0.082,0.99499,3.1,0.42,Medium
0.403,0.99632,3.02,1.15,Medium
0.081,0.99726,3.15,0.58,Medium
0.077,0.99385,3.5,0.53,Medium
0.073,0.99494,3.1,0.43,Medium
0.071,0.99476,3.39,0.56,Medium
0.09,0.99734,3.15,0.57,Medium
0.068,0.99914,3.3,1.17,Medium
0.068,0.99914,3.3,1.17,Medium
0.1,0.99521,3.36,0.59,Medium
0.093,0.99558,3.2,0.45,Medium
0.087,0.9955,3.12,0.44,Medium
0.073,0.99612,3.3,0.53,Medium
0.088,0.9979,3.29,0.62,Medium
0.071,0.996,3.28,0.61,Medium
0.083,0.99532,3.34,0.47,Medium
0.058,0.99392,3.18,0.55,Medium
0.073,0.9955,3.34,0.52,Medium
0.107,0.99668,3.26,0.46,Medium
0.079,0.9976,3.18,0.51,Medium
0.166,0.99608,3.39,0.52,Medium
0.057,0.99448,3.36,0.45,Medium
0.057,0.99448,3.36,0.45,Medium
0.057,0.99448,3.36,0.45,Medium
0.077,0.99852,3.09,0.53,Medium
0.056,0.99472,3.52,0.56,Medium
0.078,0.99587,3.34,0.39,Medium
0.086,0.9969,3.37,0.46,Medium
0.086,0.99464,3.36,0.44,Medium
0.084,0.99464,3.36,0.44,Medium
0.168,0.99736,3.28,0.5,Medium
0.093,0.99724,3.36,0.54,Medium
0.094,0.99576,3.24,0.5,Medium
0.415,0.99623,3,1.17,Medium
0.415,0.99623,3,1.17,Medium
0.086,0.9946,3.11,0.46,Medium
0.08,0.99613,3.3,0.49,Medium
0.08,0.99613,3.3,0.49,Medium
0.107,0.99593,3.19,0.5,Medium
0.076,0.99668,3.19,0.42,Medium
0.1,0.9961,3.3,0.58,Medium
0.083,0.99718,3.35,0.68,Medium
0.094,0.99612,3.37,0.58,Medium
0.07,0.9942,3.17,0.48,Medium
0.078,0.99612,3.3,0.48,Medium
0.09,0.99745,3.31,0.65,Medium
0.08,0.99584,3.28,0.52,Medium
0.08,0.9962,3.25,0.51,Medium
0.104,0.9963,3.04,0.9,Medium
0.077,0.9994,3.2,0.78,Medium
0.065,0.9966,3.56,0.84,Medium
0.077,0.9994,3.2,0.78,Medium
0.077,0.995,3.16,0.46,Medium
0.077,0.9956,3.27,0.45,Medium
0.077,0.995,3.16,0.46,Medium
0.079,0.9965,3.34,0.58,Medium
0.078,0.9957,3.3,0.58,Medium
0.072,0.9962,3.31,0.63,Medium
0.049,0.996,3.33,0.93,Medium
0.066,0.9956,3.37,0.62,Medium
0.169,0.99914,3.15,0.65,Medium
0.07,0.99577,3.53,0.54,Medium
0.052,0.996,3.41,0.47,Medium
0.058,0.99322,3.38,0.49,Medium
0.08,0.99701,3.4,0.74,Medium
0.074,0.99706,3.41,0.58,Medium
0.067,0.99603,3.39,0.6,Medium
0.063,0.9958,3.41,0.67,Medium
0.084,0.99578,2.88,0.47,Medium
0.067,0.99334,3.43,0.52,Medium
0.071,0.99336,3.38,0.54,Medium
0.205,1.00242,3.16,0.75,Medium
0.205,1.00242,3.16,0.75,Medium
0.104,0.99828,3.39,0.68,Medium
0.104,0.99828,3.39,0.68,Medium
0.042,0.99542,3.35,0.61,Medium
0.074,0.99606,3.37,0.55,Medium
0.07,0.99546,3.38,0.6,Medium
0.066,0.99496,3.52,0.78,Medium
0.049,0.9942,3.72,0.58,Medium
0.05,0.99348,3.57,0.54,Medium
0.089,0.99636,3.26,0.59,Medium
0.083,0.99642,3.16,0.53,Medium
0.062,0.9941,3.28,0.7,Medium
0.068,0.99712,3.44,0.67,Medium
