chlorides,density,pH,sulphates,quality
0.114,0.99647,3.32,0.63,Medium
0.106,0.99665,3.44,0.58,Medium
0.071,0.99633,3.42,0.97,Medium
0.076,0.9953,3.34,0.6,Medium
0.064,0.99552,3.33,0.64,Medium
0.081,0.99631,3.6,0.66,Medium
0.074,0.99717,3.39,0.61,Medium
0.081,0.99538,3.57,0.63,Medium
0.072,0.99575,3.36,0.61,Medium
0.099,0.99783,3.1,0.58,Medium
0.083,0.99768,3.44,0.54,Medium
0.08,0.99765,3.41,0.6,Medium
0.066,0.99636,3.53,0.56,Medium
0.235,0.99787,3.22,0.56,Medium
0.08,0.99622,3.21,0.52,Medium
0.08,0.99622,3.21,0.52,Medium
0.08,0.99622,3.21,0.52,Medium
0.076,0.99546,3.29,0.54,Medium
0.076,0.99546,3.29,0.54,Medium
0.076,0.99546,3.29,0.54,Medium
0.077,0.99629,3.34,0.59,Medium
0.069,0.99632,3.33,0.51,Medium
0.053,0.99362,3.57,0.5,Medium
0.074,0.99578,3.33,0.62,Medium
0.09,0.9949,3.45,0.58,Medium
0.075,0.99547,3.57,0.71,Medium
0.075,0.998,3.16,0.58,Good
0.341,0.9969,3.04,1.08,Good
0.085,0.9968,3.43,0.63,Good
0.082,0.9964,3.38,0.59,Good
0.086,0.9986,3.4,0.55,Good
0.086,0.9975,3.42,0.6,Good
0.332,0.9968,3.21,0.9,Good
0.069,0.9956,3.4,0.63,Good
0.068,0.9955,3.39,0.64,Good
0.11,0.9955,3.17,0.63,Good
0.074,0.9962,3.41,0.54,Good
0.074,0.9962,3.34,0.95,Good
0.104,0.9966,3.52,0.55,Good
0.069,0.9959,3.44,0.78,Good
0.11,0.9972,2.93,1.95,Good
0.11,0.9972,2.93,1.95,Good
0.08,0.9972,3.3,0.59,Good
0.084,0.9972,3.4,0.61,Good
0.08,0.9972,3.3,0.59,Good
0.08,0.9988,3.32,0.67,Good
0.09,0.9966,3.07,0.63,Good
0.077,0.9978,3.39,0.61,Good
0.119,0.9962,3.21,0.6,Good
0.084,0.9959,3.22,0.55,Good
0.05,0.9916,3.68,0.79,Good
0.05,0.9916,3.68,0.79,Good
0.074,0.9959,3.42,0.58,Good
0.077,0.9958,3.33,0.53,Good
0.079,0.9968,3.59,0.57,Good
0.076,0.9964,3.33,0.56,Good
0.089,0.9953,3.47,0.55,Good
0.073,0.9972,3.29,0.61,Good
0.068,0.9961,3.42,0.57,Good
0.087,0.9972,3.58,0.61,Good
0.079,0.997,3.52,0.58,Good
0.074,0.9974,3.57,0.62,Good
0.067,0.9981,3.11,0.97,Good
0.089,0.99615,3.34,0.56,Good
0.039,0.99585,3.3,0.86,Good
0.083,0.99685,3.35,0.56,Good
0.092,0.9974,3.24,0.71,Good
0.082,0.9964,3.34,0.59,Good
0.083,0.99815,3.28,0.6,Good
0.073,0.99615,3.37,0.58,Good
0.337,0.9964,3.04,1.61,Good
0.078,0.99625,3.37,0.52,Good
0.09,0.998,3.34,0.7,Good
0.065,0.99685,3.32,0.55,Good
0.097,0.99675,3.37,0.58,Good
0.093,0.99925,3.14,0.71,Good
0.102,0.99565,3.08,0.49,Good
0.084,0.9983,3.61,0.96,Good
0.084,0.9983,3.61,0.96,Good
0.063,0.9985,3.22,0.78,Good
0.074,0.9972,3.47,0.7,Good
0.077,0.9987,3.69,0.91,Good
0.104,0.9996,3.28,0.97,Good
0.087,0.9965,3.36,0.67,Good
0.087,0.9965,3.36,0.67,Good
0.077,0.9987,3.69,0.91,Good
0.104,0.9996,3.28,0.97,Good
0.071,0.9986,3.12,0.82,Good
0.073,0.9997,3.1,0.76,Good
0.092,0.9967,3.37,0.7,Good
0.091,0.9994,3.22,0.64,Good
0.098,0.9964,3.41,0.6,Good
0.094,1.0014,3.05,0.81,Good
0.086,0.9965,3.38,0.59,Good
0.068,0.9973,3.22,0.64,Good
0.213,0.9994,3.19,0.62,Good
0.214,0.9994,3.19,0.63,Good
0.072,0.996,3.27,0.54,Good
0.093,0.99815,3.32,0.63,Good
0.082,0.99865,3.3,0.64,Good
0.071,1.0015,3.16,0.69,Good
0.071,1.0015,3.16,0.69,Good
0.082,1.0002,3.16,0.67,Good
0.052,0.9948,3.35,0.7,Good
0.118,0.9982,3.3,0.75,Good
0.118,0.9982,3.3,0.75,Good
0.082,1.0006,3.12,0.78,Good
0.093,0.9986,3.02,0.93,Good
0.089,0.9979,3.11,0.92,Good
0.096,0.9994,3.35,0.83,Good
0.066,0.9912,3.25,0.59,Good
0.078,0.9955,3.55,0.61,Good
0.088,1.001,3.17,0.68,Good
0.086,0.9982,3.37,0.91,Good
0.056,0.9967,3.32,0.87,Good
0.067,0.9967,3.32,1.04,Good
0.078,1.0003,3.26,1.11,Good
0.088,0.9988,3.11,0.99,Good
0.08,0.9974,3.21,0.8,Good
0.088,0.9981,3.43,0.74,Good
0.085,1.0014,3.06,0.8,Good
0.087,0.9988,3.18,0.65,Good
0.085,1,3.1,0.61,Good
0.085,0.9994,3.15,0.63,Good
0.063,0.9981,3.24,0.65,Good
0.08,0.9987,3.38,0.62,Good
0.111,0.997,3.26,0.66,Good
0.121,0.9996,3.24,0.76,Good
0.045,0.9949,3.49,0.49,Good
0.077,0.9988,3.26,0.56,Good
0.088,0.9997,3.1,0.6,Good
0.076,0.9996,3.15,0.89,Good
0.06,0.9958,3.26,0.56,Good
0.066,0.9986,3.17,0.66,Good
0.1,0.9967,3.2,0.56,Good
0.095,0.9994,3.1,0.61,Good
0.095,0.9994,3.1,0.61,Good
0.084,0.9968,3.44,0.63,Good
0.083,0.9976,3.35,0.61,Good
0.084,0.9987,2.98,0.7,Good
0.069,0.9982,3.16,0.72,Good
0.065,0.9947,3.32,0.79,Good
0.09,1,3.17,0.62,Good
0.081,0.997,3.2,0.71,Good
0.083,0.9995,3.15,0.82,Good
0.075,0.9977,3.18,1.06,Good
0.077,0.9984,3.19,0.7,Good
0.053,0.9982,3.17,0.42,Good
0.073,0.9984,3.34,0.75,Good
0.086,1.0002,3.48,0.74,Good
0.051,0.9952,3.44,0.55,Good
0.081,0.9984,3.43,0.65,Good
0.086,1.0002,3.48,0.74,Good
0.081,0.9984,3.43,0.65,Good
0.084,1,3.17,0.71,Good
0.09,0.9994,3.18,0.63,Good
0.125,0.998,3.03,0.81,Good
0.1,1.001,3.25,0.74,Good
0.088,0.9982,3.42,0.9,Good
0.097,0.9962,3.39,0.77,Good
0.078,0.999,3.41,0.87,Good
0.072,0.9956,3.22,0.66,Good
0.102,1,3.28,0.56,Good
0.078,0.999,3.41,0.87,Good
0.084,0.9972,3.37,0.77,Good
0.064,0.9988,3.21,0.73,Good
0.085,0.9993,3.06,0.72,Good
0.075,1.0008,2.86,0.79,Good
0.078,0.9983,3.45,0.78,Good
0.067,0.9987,3.26,0.86,Good
0.079,0.9994,3.12,0.75,Good
0.074,0.9958,3.33,0.56,Good
0.092,0.998,3.19,0.73,Good
0.092,0.998,3.12,0.74,Good
0.118,1.0002,3.07,0.56,Good
0.085,1.0021,3.3,0.68,Good
0.092,0.9971,3.31,0.61,Good
0.085,1.0021,3.3,0.68,Good
0.226,0.9991,3.32,0.6,Good
0.25,0.999,3.31,0.79,Good
0.095,0.9946,3.57,0.57,Good
0.07,1.0003,3.32,0.91,Good
0.063,0.9976,3.14,0.51,Good
0.07,0.9922,3.12,0.5,Good
0.059,0.9994,3.04,0.6,Good
0.078,0.9967,3.2,0.48,Good
0.096,0.9984,3.17,0.62,Good
0.092,0.9982,3.31,0.53,Good
0.11,1.0026,3.32,0.64,Good
0.075,0.9956,3.56,0.52,Good
0.077,0.9965,3.32,0.6,Good
0.079,0.9982,3.03,0.93,Good
0.097,0.9976,3.27,0.6,Good
0.097,0.9976,3.27,0.6,Good
0.087,0.9964,3.32,0.57,Good
0.067,0.997,3.18,1.36,Good
0.068,0.9948,3.16,0.57,Good
0.079,0.9976,3.12,0.54,Good
0.074,0.9973,3.32,0.81,Good
0.074,0.9973,3.32,0.81,Good
0.076,0.9972,3.36,0.7,Good
0.222,0.998,3.18,0.6,Good
0.082,0.9988,2.94,0.66,Good
0.082,0.9988,2.94,0.66,Good
0.084,0.9984,3.08,0.67,Good
0.094,0.9962,3.21,0.49,Good
0.034,0.9921,3.9,0.62,Good
0.066,0.9972,3.47,0.67,Good
0.071,0.9986,3.11,0.62,Good
0.076,0.9984,3.08,0.57,Good
0.066,0.9972,3.47,0.67,Good
0.067,0.997,3.47,0.67,Good
0.068,0.996,3.34,0.61,Good
0.084,0.9994,3.43,0.72,Good
0.071,0.995,3.61,0.49,Good
0.093,1.0002,3.5,0.65,Good
0.075,0.9965,3.45,0.68,Good
0.07,0.99768,3.52,0.73,Good
0.08,0.9978,3.3,0.47,Good
0.071,0.99761,3.52,0.72,Good
0.07,0.99768,3.52,0.73,Good
0.415,0.99656,3.09,1.06,Good
0.058,0.99525,3.51,0.43,Good
0.057,0.99488,3.6,0.46,Good
0.069,0.99701,3.31,0.53,Good
0.093,0.99888,3.31,0.55,Good
0.091,0.99888,3.31,0.54,Good
0.082,0.99744,3.55,0.53,Good
0.082,0.99744,3.55,0.53,Good
0.157,0.9973,3.3,0.92,Good
0.241,0.9961,3.4,0.59,Good
0.19,0.99676,3.31,0.6,Good
0.079,0.9991,3.18,0.56,Good
0.079,0.9991,3.18,0.56,Good
0.082,0.99708,3.33,0.68,Good
0.081,0.99745,3.48,0.6,Good
0.065,0.99531,3.17,0.53,Good
0.082,0.9987,3.29,0.52,Good
0.114,0.9971,3.24,0.66,Good
0.084,0.99682,3.26,0.57,Good
0.07,0.99693,3.22,0.55,Good
0.072,1.00012,3.09,0.68,Good
0.103,0.99939,3.21,0.76,Good
0.071,0.99376,3.56,0.77,Good
0.119,0.99708,3.23,0.72,Good
0.078,0.9977,3.5,0.7,Good
0.08,0.99652,3.47,0.73,Good
0.08,0.99652,3.47,0.73,Good
0.08,0.99652,3.47,0.73,Good
0.064,0.99371,3.41,0.57,Good
0.068,0.99533,3.48,0.65,Good
0.194,0.99536,3.22,0.78,Good
0.094,0.99787,3.22,0.5,Good
0.083,0.99836,3.33,0.65,Good
0.072,0.99491,3.43,0.56,Good
0.082,0.99774,3.22,0.65,Good
0.08,0.99745,3.53,0.58,Good
0.08,0.9955,3.42,0.58,Good
0.08,0.9955,3.42,0.58,Good
0.079,0.9948,3.59,0.54,Good
0.078,0.99528,3.43,0.59,Good
0.132,0.99577,3.23,0.57,Good
0.114,0.99901,3.18,0.6,Good
0.065,0.99674,3.33,0.62,Good
0.079,0.99512,3.27,0.67,Good
0.084,0.99824,3.38,0.64,Good
0.081,0.9964,3.3,0.72,Good
0.072,0.99504,3.38,0.89,Good
0.072,0.99504,3.38,0.89,Good
0.061,0.99786,3.47,0.9,Good
0.078,0.9971,3.45,0.59,Good
0.06,0.99543,3.39,0.72,Good
0.111,0.99568,3.31,0.62,Good
0.058,0.99518,3.16,0.85,Good
0.058,0.99518,3.16,0.85,Good
0.068,0.9943,3.2,0.6,Good
0.066,0.99724,3.33,0.87,Good
0.065,0.99774,3.32,0.71,Good
0.07,0.99418,3.34,0.82,Good
0.065,0.99774,3.32,0.71,Good
0.064,0.99562,3.45,0.58,Good
0.073,0.99556,3.14,0.51,Good
0.079,0.99697,3.39,0.62,Good
0.05,0.99554,3.12,0.48,Good
0.055,0.99162,3.47,0.53,Good
0.088,0.9957,3.17,0.55,Good
0.092,0.99635,3.38,0.58,Good
0.12,0.99454,3.22,0.58,Good
0.049,0.99007,2.89,0.44,Good
0.123,0.99642,3.2,0.53,Good
0.123,0.99642,3.2,0.53,Good
0.098,0.99506,3.27,0.55,Good
0.095,0.99822,3.33,0.6,Good
0.066,0.99364,3.41,0.56,Good
0.077,0.99739,3.2,0.47,Good
0.088,0.99692,3.33,0.83,Good
0.079,0.99547,3.38,0.64,Good
0.046,0.99294,3.36,0.62,Good
0.07,0.99438,3.32,0.58,Good
0.076,0.99612,3.31,0.62,Good
0.081,0.99702,3.27,0.78,Good
0.084,0.99704,3.27,0.77,Good
0.095,0.99747,3.13,0.62,Good
0.074,0.9981,3.14,0.7,Good
0.098,0.9956,3.3,0.64,Good
0.075,0.99565,3.22,0.63,Good
0.067,0.99418,3.28,0.57,Good
0.083,0.9963,3.29,0.6,Good
0.088,0.9972,3.31,0.58,Good
0.073,0.99534,3.15,0.73,Good
0.073,0.99685,3.42,0.59,Good
0.072,0.99617,3.33,0.77,Good
0.057,0.994,3.29,0.69,Good
0.086,0.99546,3.35,0.6,Good
0.081,0.99479,3.43,0.59,Good
0.117,0.99655,3.35,0.49,Good
0.117,0.99655,3.35,0.49,Good
0.072,0.99392,3.11,0.78,Good
0.071,0.99388,3.35,0.63,Good
0.071,0.99388,3.35,0.63,Good
0.073,0.9936,3.28,0.66,Good
0.171,0.9982,3.17,0.76,Good
0.07,0.99593,3.25,0.64,Good
0.056,0.99396,3.29,0.71,Good
0.046,0.9902,3.49,0.66,Good
0.091,0.99572,3.38,0.6,Good
0.091,0.99572,3.38,0.6,Good
0.091,0.99572,3.38,0.6,Good
0.065,0.99252,3.3,0.53,Good
0.055,0.9922,3.45,0.48,Good
0.072,0.99379,3.51,0.6,Good
0.058,0.9977,3.18,0.63,Good
0.067,0.9946,3.38,0.6,Good
0.08,0.99774,3.22,0.76,Good
0.079,0.99764,3.34,0.64,Good
0.08,0.9969,3.41,0.65,Good
0.08,0.99624,3.27,0.85,Good
0.043,0.99354,3.3,0.65,Good
0.065,0.99672,3.61,0.82,Good
0.076,0.99672,3.53,0.81,Good
0.178,0.996,3.28,0.87,Good
0.086,0.99526,3.39,0.66,Good
0.061,0.99585,3.23,0.52,Good
0.044,0.99352,3.46,0.65,Good
0.083,0.99622,3.23,0.66,Good
0.067,0.99384,3.21,0.56,Good
0.086,0.99502,3.32,0.62,Good
0.062,0.99667,3.2,0.67,Good
0.074,0.99649,3.27,0.74,Good
0.079,0.99716,3.46,0.62,Good
0.079,0.99716,3.46,0.62,Good
0.095,0.99541,3.61,0.7,Good
0.076,0.99599,3.27,0.81,Good
0.08,0.99652,3.28,0.57,Good
0.114,0.99588,3.22,0.59,Good
0.078,0.99633,3.52,0.6,Good
0.069,0.99458,3.16,0.54,Good
0.052,0.9951,3.15,0.79,Good
0.076,0.99686,3.21,0.58,Good
0.069,0.99458,3.16,0.54,Good
0.078,0.99498,3.35,0.62,Good
0.078,0.99498,3.35,0.62,Good
0.081,0.99628,3.1,0.48,Good
0.079,0.99677,3.29,0.69,Good
0.044,0.99478,3.2,0.83,Good
0.132,0.99734,3.28,0.77,Good
0.132,0.99734,3.28,0.77,Good
0.08,0.9992,3.07,0.82,Good
0.066,0.9947,3.37,0.78,Good
0.059,0.99242,3.39,0.4,Good
0.07,0.99659,3.26,0.64,Good
0.059,0.99242,3.39,0.4,Good
0.079,0.99514,3.4,0.61,Good
0.085,0.99633,3.32,0.7,Good
0.123,0.99538,3.44,0.63,Good
0.066,0.99456,3.38,0.72,Good
0.081,0.99564,3.38,0.6,Good
0.081,0.99564,3.38,0.6,Good
0.068,0.996,3.1,0.87,Good
0.079,0.99668,3.47,0.55,Good
0.048,0.99084,3.7,0.75,Good
0.049,0.9935,3.38,0.57,Good
0.102,0.9944,3.24,0.53,Good
0.075,0.99688,3.24,0.54,Good
0.114,0.99636,3.35,0.6,Good
0.075,0.99688,3.24,0.54,Good
0.077,0.9956,3.37,0.64,Good
0.077,0.9956,3.37,0.64,Good
0.084,0.99619,3.33,0.68,Good
0.096,0.99734,3.26,0.63,Good
0.073,0.99638,3.29,0.75,Good
0.056,0.99362,3.62,0.67,Good
0.064,0.99323,3.35,0.61,Good
0.063,0.99191,3.45,0.56,Good
0.08,0.99444,3.78,0.61,Good
0.1,0.99598,3.6,0.74,Good
0.064,0.99576,3.3,0.8,Good
0.064,0.9929,3.33,0.59,Good
0.083,0.99616,3.26,0.58,Good
0.041,0.99258,4.01,0.59,Good
0.414,0.99652,2.9,1.33,Good
0.041,0.99258,4.01,0.59,Good
0.077,0.9948,3.39,0.6,Good
0.077,0.9948,3.39,0.6,Good
0.077,0.9948,3.39,0.6,Good
0.077,0.9948,3.39,0.6,Good
0.083,0.99616,3.29,0.56,Good
0.083,0.99616,3.29,0.56,Good
0.075,0.99581,3.09,0.43,Good
0.069,0.99387,3.38,0.66,Good
0.084,0.99538,3.36,0.54,Good
0.084,0.99538,3.36,0.54,Good
0.084,0.99538,3.36,0.54,Good
0.084,0.99538,3.36,0.54,Good
0.063,0.99613,3.25,0.53,Good
0.065,0.99332,3.32,0.51,Good
0.078,0.99648,3.6,0.59,Good
0.091,0.99704,3.07,0.65,Good
0.091,0.99704,3.07,0.65,Good
0.096,0.995,3.46,0.53,Good
0.088,0.99725,3.25,1.18,Good
0.079,0.99656,3.27,0.5,Good
0.153,0.99476,3.21,1.03,Good
0.078,0.99609,3.29,0.51,Good
0.077,0.99557,3.36,0.62,Good
0.077,0.99557,3.36,0.62,Good
0.068,0.99292,3.58,0.59,Good
0.092,0.99745,3.31,0.65,Good
0.068,0.9956,3.42,0.72,Good
0.052,0.9963,3.44,0.82,Good
0.082,0.9985,3.43,0.62,Good
0.062,0.9974,3.22,0.94,Good
0.064,0.995,3.54,0.93,Good
0.064,0.995,3.54,0.93,Good
0.082,0.9936,3.5,0.44,Good
0.071,0.9963,3.56,0.73,Good
0.062,0.9974,3.22,0.94,Good
0.079,0.9956,3.39,0.84,Good
0.069,0.9958,3.26,0.54,Good
0.214,1.00369,3.18,0.77,Good
0.072,0.99566,3.32,0.68,Good
0.094,0.99713,3.16,0.52,Good
0.073,0.99974,3.21,0.69,Good
0.052,0.99467,3.5,0.63,Good
0.054,0.99724,3.41,0.68,Good
0.076,0.99522,3.34,0.53,Good
0.073,0.99656,3.38,0.79,Good
0.039,0.99344,3.39,0.56,Good
0.08,0.99492,3.35,0.81,Good
0.054,0.99508,3.45,0.63,Good
0.054,0.99508,3.45,0.63,Good
0.077,0.99555,3.51,0.69,Good
0.106,0.99605,3.36,0.55,Good
0.07,0.99562,3.51,0.66,Good
0.106,0.99605,3.36,0.55,Good
0.074,0.99814,3.38,0.72,Good
0.047,0.99661,3.47,0.77,Good
0.074,0.99842,3.53,0.72,Good
0.074,0.99842,3.53,0.72,Good
0.063,0.99489,3.38,0.83,Good
0.064,0.99553,3.3,0.65,Good
0.096,0.99714,3.31,0.67,Good
0.063,0.99608,3.42,0.6,Good
0.063,0.99444,3.42,0.69,Good
0.058,0.99573,3.21,0.68,Good
0.075,0.9959,3.36,0.59,Good
0.071,0.99646,3.56,0.63,Good
0.059,0.99531,3.36,0.64,Good
0.103,0.99586,3.51,0.66,Good
0.062,0.99627,3.54,0.6,Good
0.061,0.99489,3.39,0.82,Good
0.059,0.99494,3.34,0.71,Good
0.056,0.99396,3.48,0.57,Good
0.23,0.9934,3.37,0.93,Good
0.038,0.99514,3.44,0.65,Good
0.075,0.99467,3.58,0.67,Good
0.06,0.99474,3.26,0.64,Good
0.081,0.99588,3.3,0.78,Good
0.076,0.99622,3.54,0.6,Good
0.118,0.9954,3.42,0.67,Good
0.068,0.9947,3.36,0.6,Good
0.065,0.99492,3.34,0.85,Good
0.066,0.99483,3.55,0.66,Good
0.077,0.99314,3.32,0.82,Good
0.089,0.99402,3.67,0.56,Good
0.076,0.99574,3.42,0.75,Good
0.068,0.99651,3.42,0.82,Good
0.062,0.99512,3.52,0.76,Good
